
Packets lost, sequence number, packet length, timestamp (s)

2 Nodes, Power levels 1 & 2, Packet Deployment
0,0,20,23
0,1,20,24
0,2,20,25
0,3,20,26
0,4,20,27
0,5,20,29
0,6,20,30
0,7,20,31
0,8,20,32
0,9,20,33
0,10,21,34
0,11,21,35
0,12,21,36
0,13,21,37
0,14,21,38
0,15,21,39
0,16,21,40
0,17,21,41
0,18,21,42
0,19,21,43
0,20,21,44
0,21,21,45
0,22,21,46
0,23,21,47
0,24,21,48
0,25,21,50
0,26,21,51
0,27,21,52
0,28,21,53
0,29,21,54
0,30,21,55
0,31,21,56
0,32,21,57
0,33,21,58
0,34,21,59
0,35,21,60
0,36,21,61
0,37,21,62
0,38,21,63
0,39,21,64
0,40,21,65
0,41,21,66
0,42,21,67
0,43,21,68
0,44,21,70
0,45,21,71
0,46,21,72
0,47,21,73
0,48,21,74
0,49,21,75
0,50,21,76
0,51,21,77
0,52,21,78
0,53,21,79
0,54,21,80
0,55,21,81
0,56,21,82
0,57,21,83
0,58,21,84
0,59,21,85
0,60,21,86
0,61,21,87
0,62,21,88
0,63,21,89
0,64,21,90
0,65,21,91
0,66,21,92
0,67,21,94
0,68,21,95
0,69,21,96
0,70,21,97
0,71,21,98
0,72,21,99
0,73,21,100
0,74,21,101
0,75,21,102
0,76,21,103
0,77,21,104
0,78,21,105
0,79,21,106
0,80,21,107
0,81,21,108
0,82,21,109
0,83,21,110
0,84,21,111
0,85,21,113
0,86,21,114
0,87,21,115
0,88,21,116
0,89,21,117
0,90,21,118
0,91,21,119
0,92,21,120
0,93,21,121
0,94,21,122
0,95,21,123
0,96,21,124
0,97,21,125
0,98,21,126
0,99,21,127
0,100,22,128

2 Nodes, Power levels 1 & 2, RSSI Deployment
0,0,20,27
1,0,20,27
2,0,20,27
0,1,20,27
0,2,20,28
1,2,20,28
0,3,20,28
0,4,20,29
0,5,20,29
1,5,20,29
2,5,20,29
0,6,20,30
1,6,20,30
0,7,20,30
0,8,20,31
1,8,20,31
0,9,20,31
0,10,21,31
0,12,21,32
1,12,21,32
0,13,21,33
1,14,21,34
2,14,21,34
3,14,21,34
4,14,21,34
0,15,21,35
0,16,21,35
0,17,21,35
0,18,21,36
0,19,21,36
0,20,21,36
0,22,21,37
1,22,21,37
3,22,21,38
0,23,21,38
1,23,21,38
2,23,21,38
0,24,21,39
0,25,21,39
0,26,21,39
0,27,21,39
1,27,21,40
0,28,21,40
1,28,21,40
0,29,21,41
1,29,21,41
2,29,21,41
3,29,21,42
0,30,21,42
1,30,21,42
2,30,21,42
0,31,21,43
1,31,21,43
0,32,21,43
0,33,21,44
1,33,21,44
0,34,21,44
1,34,21,44
0,35,21,45
0,36,21,45
0,37,21,45
3,37,21,46
4,37,21,46
7,37,21,47
8,37,21,47
0,38,21,48
2,38,21,48
3,38,21,49
0,39,21,49
1,39,21,49
0,40,21,50
0,41,21,50
1,41,21,50
0,42,21,50
0,43,21,51
1,43,21,51
0,44,21,51
0,45,21,52
0,46,21,52
0,47,21,52
0,48,21,52
0,49,21,53
1,50,21,53
0,51,21,54
1,51,21,54
0,52,21,54
0,53,21,54
0,54,21,55
0,55,21,55
1,55,21,55
2,55,21,56
0,56,21,56
1,57,21,57
0,58,21,57
0,59,21,57
1,59,21,57
0,60,21,58
0,61,21,58
0,62,21,58
1,62,21,59
0,63,21,59
1,63,21,59
0,64,21,59
0,65,21,60
0,66,21,60
0,67,21,60
0,68,21,60
0,69,21,61
0,70,21,61
1,70,21,61
0,71,21,62
0,72,21,62
1,72,21,62
0,73,21,63
0,74,21,63
0,75,21,63
0,76,21,63
0,77,21,64
0,78,21,64
0,79,21,64
0,80,21,65
1,80,21,65
0,81,21,65
0,83,21,66
1,83,21,66
0,84,21,66
0,85,21,67
0,86,21,67
0,87,21,67
0,88,21,68
1,88,21,68
0,89,21,68
1,89,21,68
2,89,21,69
0,90,21,69
0,91,21,69
0,93,21,70
0,94,21,70
0,95,21,71
0,96,21,71
0,97,21,71
1,97,21,71
0,98,21,72
0,99,21,72
0,100,22,72

2 Nodes, Power levels 1 & 2, Packet Deployment
0,0,20,145
0,1,20,145
1,1,20,145
2,1,20,146
0,2,20,146
0,3,20,146
1,3,20,147
0,4,20,147
0,5,20,147
0,6,20,147
1,6,20,148
0,7,20,148
1,7,20,148
0,8,20,149
0,9,20,149
0,10,21,149
0,11,21,150
0,12,21,150
0,13,21,150
1,13,21,150
2,13,21,151
0,14,21,151
0,16,21,152
1,16,21,152
0,17,21,152
1,17,21,153
0,19,21,154
1,19,21,154
2,19,21,154
3,19,21,154
4,19,21,155
5,19,21,155
0,20,21,155
1,21,21,156
0,22,21,156
1,22,21,156
0,23,21,157
0,24,21,157
0,26,21,158
1,26,21,158
0,27,21,158
0,28,21,159
0,29,21,159
2,29,21,159
0,30,21,160
0,31,21,160
0,32,21,161
0,33,21,161
0,34,21,161
1,34,21,161
0,35,21,162
1,35,21,162
0,36,21,162
0,37,21,162
0,38,21,163
0,39,21,163
1,40,21,164
1,41,21,165
4,41,21,165
9,41,21,167
10,41,22,167
0,42,21,167
0,43,21,168
0,45,21,169
1,45,21,169
2,45,21,169
0,46,21,169
0,47,21,170
1,48,21,170
0,49,21,171
0,50,21,171
0,51,21,172
1,52,21,172
0,53,21,173
1,53,21,173
0,54,21,174
1,54,21,174
0,55,21,174
0,56,21,174
0,57,21,175
1,57,21,175
0,58,21,175
0,60,21,176
0,61,21,176
1,61,21,177
0,62,21,177
0,63,21,177
0,64,21,178
0,65,21,178
0,66,21,178
0,67,21,178
1,67,21,179
0,68,21,179
0,69,21,179
0,70,21,180
0,71,21,180
0,72,21,180
0,73,21,181
1,73,21,181
0,74,21,181
1,74,21,181
0,75,21,182
0,76,21,182
0,77,21,182
1,77,21,183
0,78,21,183
1,78,21,183
0,79,21,184
0,80,21,184
0,81,21,184
1,81,21,184
2,81,21,185
3,81,21,185
0,82,21,185
1,82,21,186
0,83,21,186
0,84,21,186
0,85,21,187
0,86,21,187
0,87,21,187
0,88,21,188
0,89,21,188
1,89,21,188
0,90,21,188
0,91,21,189
0,92,21,189
0,93,21,190
1,94,21,190
0,95,21,191
0,96,21,191
0,97,21,191
0,98,21,191
1,98,21,192
0,99,21,192
0,100,22,192


packet Loss, 3 nodes, 1 and 2 power

0,0,20,57

0,0,20,57

1,1,20,57

1,2,20,58

0,3,20,58

1,4,20,58

0,5,20,59

0,5,20,59

1,6,20,60

0,7,20,60

0,7,20,60

1,8,20,61

0,9,20,61

0,10,21,61

0,10,21,61

0,10,21,62

0,10,21,62

3,11,21,62

0,12,21,63

1,13,21,63

1,13,21,63

1,14,21,64

1,14,21,64

2,15,21,65

2,15,21,65

1,16,21,65

3,16,21,66

3,16,21,66

1,17,21,66

not parent

0,18,21,67

0,18,21,67

0,18,21,67

2,19,21,68

0,20,21,68

0,21,21,68

1,22,21,69

1,22,21,69

1,23,21,69

1,23,21,70

1,24,21,70

0,25,21,70

0,26,21,71

1,26,21,71

1,27,21,71

1,27,21,72

1,28,21,72

1,28,21,72

1,29,21,73

1,29,21,73

0,30,21,73

0,30,21,73

2,31,21,74

1,32,21,75

1,32,21,75

1,33,21,75

1,33,21,75

1,34,21,76

1,34,21,76

2,35,21,77

2,35,21,77

1,36,21,77

1,36,21,77

2,37,21,78

2,37,21,78

1,38,21,79

0,39,21,79

0,40,21,79

0,40,21,79

1,41,21,80

0,42,21,80

1,43,21,81

1,43,21,81

2,44,21,82

2,44,21,82

1,45,21,82

1,45,21,83

2,46,21,83

2,46,21,83

1,47,21,84

1,47,21,84

1,48,21,84

1,48,21,85

1,49,21,85

1,49,21,86

2,50,21,86

2,50,21,86

1,51,21,86

1,51,21,87

2,52,21,87

2,52,21,87

0,54,21,88

1,55,21,89

1,55,21,89

1,56,21,89

1,56,21,89

1,57,21,90

1,58,21,90

1,58,21,90

0,59,21,91

0,59,21,91

1,60,21,91

1,60,21,92

2,61,21,92

2,61,21,92

1,62,21,93

0,63,21,93

0,63,21,93

1,64,21,94

1,64,21,94

1,65,21,94

1,65,21,94

1,66,21,95

1,67,21,95

1,67,21,96

2,68,21,96

2,68,21,97

1,69,21,97

1,69,21,97

1,70,21,98

0,71,21,98

0,71,21,98

1,72,21,99

0,73,21,99

0,74,21,99

0,74,21,99

1,75,21,100

1,75,21,100

2,76,21,100

2,76,21,101

1,77,21,101

0,78,21,101

0,79,21,102

0,80,21,102

1,81,21,103

1,81,21,103

1,82,21,104

0,83,21,104

0,83,21,104

0,85,21,105

0,85,21,105

1,86,21,105

1,87,21,106

1,87,21,106

1,88,21,106

1,88,21,106

1,89,21,107

1,89,21,107

1,90,21,108

1,90,21,108

1,91,21,108

0,92,21,108

0,92,21,109

1,93,21,109

1,93,21,109

2,94,21,110

0,95,21,110

0,95,21,110

1,96,21,111

1,96,21,111

1,96,21,111

2,97,21,112

2,97,21,112

1,98,21,112

1,98,21,112

1,99,21,113

1,99,21,113

1,100,22,114

1,100,22,114

Packet loss, 3 nodes, 1 and 2 power
0,0,20,70
0,1,20,71
0,0,20,71
0,2,20,71
1,3,20,72
0,4,20,72
1,3,20,72
0,4,20,72
1,3,20,72
1,4,20,72
1,3,20,73
1,6,20,73
0,7,20,74
3,6,20,74
0,8,20,75
0,7,20,75
0,9,20,75
1,11,21,75
0,12,21,76
0,13,21,76
0,14,21,76
0,13,21,76
0,15,21,77
0,16,21,77
0,17,21,77
0,18,21,78
0,19,21,78
0,20,21,78
0,21,21,79
0,22,21,79
0,21,21,79
0,23,21,79
0,24,21,80
0,25,21,81
0,26,21,81
0,25,21,81
0,27,21,81
0,28,21,81
1,29,21,82
0,30,21,82
0,31,21,83
0,32,21,83
0,33,21,84
0,34,21,84
2,35,21,85
0,36,21,85
0,37,21,85
0,38,21,86
0,39,21,86
0,40,21,86
0,41,21,86
0,42,21,87
0,43,21,87
0,42,21,87
0,44,21,88
0,45,21,88
0,46,21,88
0,45,21,89
0,46,21,89
1,47,21,89
0,48,21,90
0,49,21,90
1,48,21,90
1,50,21,91
0,51,21,91
0,52,21,91
0,51,21,92
0,53,21,92
0,54,21,92
0,55,21,93
0,56,21,93
0,58,21,94
0,57,21,94
0,59,21,94
0,60,21,94
0,61,21,95
1,62,21,95
1,63,21,97
2,64,21,98
0,65,21,98
2,64,21,98
1,65,21,99
3,64,21,99
0,65,21,99
2,64,21,99
0,66,21,99
1,67,21,100
0,68,21,100
0,69,21,101
0,70,21,101
1,71,21,101
0,72,21,102
1,71,21,102
0,73,21,102
0,74,21,102
0,75,21,103
0,76,21,103
0,77,21,104
0,78,21,104
0,77,21,104
0,79,21,105
0,80,21,105
0,81,21,106
0,83,21,107
0,84,21,107
0,83,21,107
0,85,21,107
0,84,21,107
0,86,21,108
0,87,21,108
0,88,21,108
0,89,21,109
1,90,21,109
1,91,21,110
0,92,21,111
0,93,21,111
0,94,21,111
0,95,21,112
0,94,21,112
0,95,21,112
0,94,21,112
0,96,21,112
1,95,21,112
0,94,21,112
0,95,21,113
0,96,21,113
0,97,21,113
0,98,21,113
0,97,21,113
0,99,21,113
0,100,22,113

RSSI Deployment, 3 Nodes, 2 Power level
0,0,20,61
1,1,20,62
0,2,20,62
0,3,20,63
1,4,20,63
1,5,20,64
1,6,20,65
2,7,20,65
0,8,20,66
1,9,20,66
1,10,21,67
2,11,21,68
1,12,21,68
0,13,21,69
1,14,21,69
0,15,21,69
0,16,21,70
1,17,21,70
1,18,21,71
1,19,21,72
0,20,21,72
1,21,21,73
1,22,21,73
0,23,21,74
1,24,21,74
0,25,21,74
1,26,21,75
1,28,21,76
0,29,21,76
1,30,21,77
1,31,21,77
1,32,21,78
0,33,21,78
1,34,21,79
2,35,21,80
1,36,21,80
1,37,21,81
0,38,21,81
0,39,21,82
2,40,21,82
1,41,21,83
1,42,21,84
0,43,21,84
0,44,21,84
0,45,21,85
1,46,21,85
1,47,21,86
2,48,21,86
3,49,21,88
1,50,21,88
1,51,21,89
1,52,21,89
1,53,21,90
0,54,21,90
1,55,21,91
1,56,21,91
1,57,21,92
0,58,21,92
2,59,21,93
2,60,21,94
1,61,21,95
0,62,21,95
0,63,21,95
1,64,21,96
0,65,21,96
1,66,21,97
1,67,21,97
0,68,21,98
0,69,21,98
2,70,21,99
1,71,21,99
0,72,21,100
1,73,21,100
1,74,21,101
1,75,21,101
1,76,21,102
1,77,21,103
1,78,21,103
0,79,21,104
1,80,21,104
0,81,21,105
1,82,21,105
0,83,21,106
1,84,21,106
1,85,21,107
1,86,21,107
0,87,21,108
2,88,21,109
1,89,21,109
0,90,21,109
0,91,21,110
0,92,21,110
0,93,21,111
0,94,21,111
0,95,21,111
1,96,21,112
1,97,21,112
0,98,21,113
1,99,21,114
0,100,22,114

0, 0,20,61

0,0,20,61

1,1,20,62

0,2,20,62

0,2,20,62

2,2,20,62

0,3,20,63

0,3,20,63

1,4,20,63

1,4,20,63

1,5,20,64

1,6,20,65

1,6,20,65

2,7,20,65

0,8,20,66

0,8,20,66

1,9,20,66

1,9,20,66

1,10,21,67

1,10,21,67

2,11,21,68

2,11,21,68

1,12,21,68

0,13,21,69

1,14,21,69

0,15,21,69

0,16,21,70

0,16,21,70

1,17,21,70

1,17,21,70

3,17,21,71

3,17,21,71

1,18,21,71

1,18,21,71

1,19,21,72

0,20,21,72

0,20,21,72

1,21,21,73

1,21,21,73

1,22,21,73

0,23,21,74

1,24,21,74

0,25,21,74

0,25,21,75

1,26,21,75

1,28,21,76

0,29,21,76

0,29,21,76

1,30,21,77

1,30,21,77

1,31,21,77

1,31,21,78

1,32,21,78

0,33,21,78

0,33,21,78

1,34,21,79

1,34,21,79

1,34,21,79

2,35,21,80

2,35,21,80

1,36,21,80

1,36,21,80

1,37,21,81

0,38,21,81

0,39,21,82

0,39,21,82

2,40,21,82

2,40,21,83

1,41,21,83

1,41,21,83

1,42,21,84

0,43,21,84

0,44,21,84

0,45,21,85

0,45,21,85

1,46,21,85

1,46,21,85

1,47,21,86

1,47,21,86

2,48,21,86

2,48,21,87

2,48,21,87

3,49,21,87

3,49,21,88

1,50,21,88

1,50,21,88

1,51,21,89

1,51,21,89

1,52,21,89

1,53,21,90

0,54,21,90

0,54,21,90

1,55,21,91

1,55,21,91

1,56,21,91

1,56,21,91

1,57,21,92

0,58,21,92

0,58,21,93

2,59,21,93

2,60,21,94

2,60,21,94

1,61,21,95

0,62,21,95

0,63,21,95

0,63,21,95

1,64,21,96

0,65,21,96

1,66,21,97

1,66,21,97

1,67,21,97

1,67,21,97

0,68,21,98

0,69,21,98

0,69,21,98

2,70,21,99

2,70,21,99

1,71,21,99

0,72,21,100

0,72,21,100

1,73,21,100

1,73,21,100

1,74,21,101

1,74,21,101

1,75,21,101

1,75,21,102

1,76,21,102

1,76,21,102

1,77,21,103

1,78,21,103

0,79,21,104

0,79,21,104

1,80,21,104

0,81,21,105

1,82,21,105

1,82,21,105

0,83,21,106

1,84,21,106

1,84,21,107

1,85,21,107

1,85,21,107

1,86,21,107

0,87,21,108

0,87,21,108

2,88,21,109

2,88,21,109

1,89,21,109

0,90,21,109

0,91,21,110

0,92,21,110

0,92,21,110

0,93,21,111

0,94,21,111

0,95,21,111

0,95,21,112

1,96,21,112

1,96,21,112

1,97,21,112

0,98,21,113

1,98,21,113

1,99,21,114

0,100,22,114

5 nodes, packet deployment, 1 and 2 power



